dep_epci,siren_epci,nom_complet,nj_epci2019,fisc_epci2019,nb_com_2019,ptot_epci_2019,pmun_epci_2019
01,200029999,CC Rives de l'Ain - Pays du Cerdon,CC,FPU,14,14792,14449
01,200040350,CC Bugey Sud,CC,FPU,43,34828,33837
01,200042497,CC Dombes Saône Vallée,CC,FPU,19,38793,37603
01,200042935,CA Haut - Bugey Agglomération,CA,FPU,42,65393,63403
01,200069193,CC de la Dombes,CC,FPU,36,39112,38195
01,200070118,CC Val de Saône Centre,CC,FPU,15,20744,20296
01,200070555,CC de la Veyle,CC,FPU,18,22575,22033
01,200071371,CC Bresse et Saône,CC,FPU,20,25831,25162
01,200071751,CA du Bassin de Bourg-en-Bresse,CA,FPU,74,136014,131727
01,240100610,CC de la Côtière à Montluel,CC,FPU,9,25112,24732
01,240100750,CA du Pays de Gex,CA,FPU,27,95187,93027
01,240100800,CC de Miribel et du Plateau,CC,FPU,6,23888,23507
01,240100883,CC de la Plaine de l'Ain,CC,FPU,53,78956,77249
01,240100891,CC du Pays Bellegardien (CCPB),CC,FPU,12,22203,21684
02,200040426,CC du Val de l'Oise,CC,FA,32,16433,16158
02,200043495,CA du Pays de Laon,CA,FPU,38,44505,43259
02,200071769,CC Picardie des Châteaux,CC,FPU,36,17759,17362
02,200071785,CA Chauny Tergnier La Fère,CA,FPU,48,57077,55732
02,200071892,CA du Saint-Quentinois,CA,FPU,39,83579,81489
02,200071983,CC Thiérache Sambre et Oise,CC,FA,36,17475,17060
02,200071991,CC Retz en Valois,CC,FPU,54,30628,29594
02,200072031,CA de la Région de Château-Thierry,CA,FPU,87,55382,54092
02,240200444,CC de la Thiérache du Centre,CC,FPU,68,27564,26531
02,240200469,CC du Pays de la Serre,CC,FPU,42,14879,14621
02,240200477,CA GrandSoissons Agglomération,CA,FPU,28,53504,52143
02,240200493,CC du Pays du Vermandois,CC,FPU,54,31952,31298
02,240200501,CC du Val de l'Aisne,CC,FA,58,20681,20302
02,240200519,CC du Canton d'Oulchy le Château,CC,FA,26,5842,5705
02,240200576,CC de la Champagne Picarde,CC,FPU,46,21418,20940
02,240200584,CC du Canton de Charly sur Marne,CC,FA,21,16035,15744
02,240200592,CC du Chemin des Dames,CC,FA,30,5534,5457
02,240200600,CC des Trois Rivières,CC,FPU,26,22079,21510
02,240200634,CC des Portes de la Thiérache,CC,FPU,30,7177,7056
03,200071082,CA Montluçon Communauté,CA,FPU,21,64249,62414
03,200071140,CA Moulins Communauté,CA,FPU,44,67887,65451
03,200071363,CA Vichy Communauté,CA,FPU,39,84770,82461
03,200071389,CC Saint-Pourçain Sioule Limagne,CC,FPU,60,34877,33949
03,200071470,CC Entr'Allier Besbre et Loire,CC,FPU,44,25763,25151
03,200071496,CC du Bocage Bourbonnais,CC,FPU,25,14123,13797
03,200071512,CC Commentry Montmarault Néris Communauté,CC,FPU,33,26995,26180
03,240300491,CC du Pays de Lapalisse,CC,FPU,14,8700,8471
03,240300558,CC du Pays de Tronçais,CC,FPU,15,7625,7458
03,240300566,CC du Val de Cher,CC,FPU,7,5659,5542
03,240300657,CC du Pays d'Huriel,CC,FPU,14,7747,7596
04,200034700,CA Durance-Lubéron-Verdon Agglomération,CA,FPU,25,63138,61520
04,200067437,CA Provence-Alpes-Agglomération,CA,FPU,46,48951,47298
04,200068625,"CC Alpes-Provence-Verdon ""Sources de lumière""",CC,FPU,41,11614,11403
04,200068765,CC du Sisteronais-Buëch,CC,FPU,60,25576,24859
04,200071025,CC Haute-Provence-Pays de Banon,CC,FPU,21,9897,9709
04,200071033,CC Jabron-Lure-Vançon-Durance,CC,FPU,14,5453,5266
04,200072304,CC Vallée de l'Ubaye - Serre-Ponçon,CC,FPU,13,8189,7790
04,240400440,CC Pays Forcalquier et Montagne de Lure,CC,FPU,13,9903,9698
05,200067320,CC Serre-Ponçon Val d'Avance,CC,FPU,16,7710,7516
05,200067445,CC Buëch-Dévoluy,CC,FPU,20,9636,9306
05,200067452,CC du Guillestrois et du Queyras,CC,FPU,15,8187,7987
05,200067742,CC Serre-Ponçon,CC,FPU,17,16799,16105
05,200067825,CA Gap-Tallard-Durance,CA,FPU,17,52378,50322
05,200068096,CC Champsaur-Valgaudemar,CC,FA,25,11474,11065
05,240500439,CC du Briançonnais,CC,FPU,13,21210,20590
05,240500462,CC du Pays des Ecrins,CC,FPU,8,6900,6689
06,200030195,Métropole Nice Côte d'Azur,METRO,FPU,49,544819,538769
06,200039857,CA du Pays de Grasse,CA,FPU,23,103907,101795
06,200039915,CA Cannes Pays de Lérins,CA,FPU,5,160385,158455
06,200039931,CC Alpes d'Azur,CC,FPU,34,9802,9662
06,240600551,CA de la Riviera Française,CA,FPU,15,73563,72506
06,240600585,CA de Sophia Antipolis,CA,FPU,24,179146,175868
06,240600593,CC du Pays des Paillons,CC,FPU,13,26917,26649
07,200016905,CC du Pays de Lamastre,CC,FPU,11,6816,6633
07,200039808,CC des Gorges de l'Ardèche,CC,FPU,20,15410,15020
07,200039824,CC Ardèche des Sources et Volcans,CC,FPU,16,9852,9627
07,200039832,CC Pays des Vans en Cévennes,CC,FPU,15,9419,9193
07,200041366,CC Rhône Crussol,CC,FPU,13,34667,33854
07,200041465,CC Val Eyrieux,CC,FPU,29,13198,12743
07,200071405,CC Ardèche Rhône Coiron,CC,FPU,15,22919,22346
07,200071413,CA Privas Centre Ardèche,CA,FPU,42,44955,43606
07,200072007,CC de la Montagne d'Ardèche,CC,FPU,28,5046,4957
07,200072015,CA Annonay Rhône Agglo,CA,FPU,29,49955,48528
07,200073096,CA Arche Agglo,CA,FPU,41,58684,57085
07,200073245,CC du Bassin d'Aubenas,CC,FPU,28,41173,39708
07,240700302,CC du Pays Beaume-Drobie,CC,FPU,19,8912,8730
07,240700617,CC Val de Ligne,CC,FPU,11,6341,6138
07,240700716,CC du Val d'Ay,CC,FPU,8,6039,5906
07,240700815,CC Berg et Coiron,CC,FPU,13,7841,7587
07,240700864,CC du Rhône aux Gorges de l'Ardèche,CC,FPU,9,19389,18955
08,200041622,CC Ardennes Thiérache,CC,FPU,37,10171,9956
08,200041630,CA Ardenne Métropole,CA,FPU,58,126950,123082
08,200043156,CC du Pays Réthelois,CC,FPU,65,30678,29876
08,200067759,CC Vallées et Plateau d'Ardenne,CC,FPU,31,25911,25375
08,240800821,"CC Ardenne, Rives de Meuse",CC,FA,19,27990,27333
08,240800847,CC des Portes du Luxembourg,CC,FPU,50,20778,20384
08,240800862,CC des Crêtes Préardennaises,CC,FPU,94,22530,21968
08,240800920,CC de l'Argonne Ardennaise,CC,FPU,95,17996,17397
09,200044469,CC du Pays de Mirepoix,CC,FPU,33,10873,10519
09,200066223,CC Arize Lèze,CC,FPU,27,10908,10732
09,200066231,CC des Portes d'Ariège Pyrénées,CC,FA,35,41004,39464
09,200066363,CC de la Haute Ariège,CC,FPU,52,7440,7170
09,200067791,CA Pays Foix-Varilhes,CA,FPU,42,32990,31813
09,200067940,CC Couserans-Pyrénées,CC,FPU,94,30819,29825
09,240900431,CC du Pays de Tarascon,CC,FPU,20,8629,8498
09,240900464,CC du Pays d'Olmes,CC,FPU,24,15542,15046
10,200000545,CC des Portes de Romilly sur Seine,CC,FA,6,19030,18606
10,200006716,CC du Nogentais,CC,FA,23,17118,16821
10,200040137,CC des Lacs de Champagne,CC,FPU,43,9757,9529
10,200066892,CC de Vendeuvre-Soulaines,CC,FPU,38,7990,7790
10,200069003,CC du Barséquanais en Champagne,CC,FA,53,19581,19051
10,200069250,CA Troyes Champagne Métropole,CA,FPU,81,174658,170145
10,200070126,CC Seine et Aube,CC,FA,25,10357,10148
10,200071041,CC du Chaourçois et du Val d'Armance,CC,FA,42,10835,10599
10,200071777,"CC d'Arcis, Mailly, Ramerupt",CC,FA,39,11781,11490
10,241000223,"CC Forêts, Lacs, Terres en Champagne",CC,FPU,15,7004,6894
10,241000405,CC de la Région de Bar sur Aube,CC,FA,27,11817,11440
10,241000447,CC du Pays d'Othe,CC,FA,14,8029,7905
10,241000488,CC de l'Orvin et de l'Ardusson,CC,FPU,25,8682,8492
11,200035707,CC Piège Lauragais Malepère,CC,FPU,38,16267,15697
11,200035715,CA Carcassonne Agglo,CA,FPU,81,114651,111452
11,200035855,CC Castelnaudary Lauragais Audois,CC,FPU,43,27281,26250
11,200035863,"CC Région Lézignanaise, Corbières et Minervois",CC,FPU,54,33763,33209
11,200042463,CC de la Montagne Noire,CC,FA,23,6031,5867
11,200043776,CC Pyrénées audoises,CC,FPU,61,14435,14080
11,200071926,CC du Limouxin,CC,FPU,77,29425,28466
11,241100593,CA Le Grand Narbonne,CA,FPU,37,130164,127530
12,200067064,CC Decazeville Communauté,CC,FPU,12,19553,18950
12,200067155,"CC Saint Affricain, Roquefort, Sept Vallons",CC,FPU,14,14627,13787
12,200067163,"CC Monts, Rance et Rougier",CC,FPU,23,6605,6336
12,200067171,"CC Aubrac, Carladez et Viadène",CC,FPU,21,10531,10279
12,200067478,CC Comtal Lot et Truyère,CC,FPU,21,19651,19165
12,200068484,CC des Causses à l'Aubrac,CC,FPU,17,15004,14536
12,200068831,CC Pays Ségali,CC,FPU,23,18544,17924
12,200069383,CC du Grand Villefranchois,CC,FPU,29,28669,27486
12,241200187,CA Rodez Agglomération,CA,FPU,8,58526,55345
12,241200542,CC du Réquistanais,CC,FPU,11,5588,5376
12,241200567,CC de Millau Grands Causses,CC,FPU,15,30790,29820
12,241200625,CC du Pays Rignacois,CC,FA,8,5730,5492
